Ask1PriceMillionths	Ask1SizeBillionths	Ask2PriceMillionths	Ask2SizeBillionths	Ask3PriceMillionths	Ask3SizeBillionths	Bid1PriceMillionths	Bid1SizeBillionths	Bid2PriceMillionths	Bid2SizeBillionths	Bid3PriceMillionths	Bid3SizeBillionths	received_utc_microseconds	timestamp_utc_microseconds
7035550000	66062339420	7035560000	500000000	7035570000	1505870200	7035540000	5582916560	7035530000	1420000	7035500000	11360870	1523225280260830	1523225280246000
7035550000	66062339420	7035560000	500000000	7035570000	1505870200	7035540000	5584316560	7035530000	1420000	7035500000	11360870	1523225281461445	1523225281426000
7035550000	65958939420	7035560000	500000000	7035570000	1505870200	7035540000	5584316560	7035530000	1420000	7035500000	11360870	1523225288307619	1523225288293000
7035550000	65958939420	7035560000	500000000	7035570000	1505870200	7035540000	5570859940	7035530000	1420000	7035500000	11360870	1523225288451139	1523225288437000
7035550000	65958939420	7035560000	500000000	7035570000	1505870200	7035540000	5591242140	7035530000	1420000	7035500000	11360870	1523225288518614	1523225288485000
7035550000	65958939420	7035560000	500000000	7035570000	1505870200	7035540000	5589142140	7035530000	1420000	7035500000	11360870	1523225288566180	1523225288551000
7035550000	65958939420	7035560000	500000000	7035570000	1505870200	7035540000	5591242140	7035530000	1420000	7035500000	11360870	1523225288728681	1523225288696000
7035550000	65814939420	7035560000	500000000	7035570000	1505870200	7035540000	5591242140	7035530000	1420000	7035500000	11360870	1523225293267300	1523225293229000
7035550000	66015939420	7035560000	500000000	7035570000	1505870200	7035540000	5591242140	7035530000	1420000	7035500000	11360870	1523225293284020	1523225293269000
7035550000	66015939420	7035560000	500000000	7035570000	1505870200	7035540000	5201242140	7035530000	1420000	7035500000	11360870	1523225293492054	1523225293472000
7035550000	66026489420	7035560000	500000000	7035570000	1505870200	7035540000	5201242140	7035530000	1420000	7035500000	11360870	1523225295644311	1523225295629000
7035550000	66026489420	7035560000	677934720	7035570000	1505870200	7035540000	5201242140	7035530000	1420000	7035500000	11360870	1523225297672119	1523225297656000
7035550000	65876289420	7035560000	677934720	7035570000	1505870200	7035540000	5201242140	7035530000	1420000	7035500000	11360870	1523225299120169	1523225299105000
7035550000	63821909890	7035560000	677934720	7035570000	1505870200	7035540000	5201242140	7035530000	1420000	7035500000	11360870	1523225300235932	1523225300222000
7035550000	63821909890	7035560000	677934720	7035570000	1505870200	7035540000	5193785450	7035530000	1420000	7035500000	11360870	1523225300873077	1523225300858000
7035550000	63821909890	7035560000	677934720	7035570000	1505870200	7035540000	5138242140	7035530000	1420000	7035500000	11360870	1523225300875415	1523225300858000
7035550000	47621909890	7035560000	677934720	7035570000	1505870200	7035540000	5138242140	7035530000	1420000	7035500000	11360870	1523225301476712	1523225301459000
7035550000	63721909890	7035560000	677934720	7035570000	1505870200	7035540000	5138242140	7035530000	1420000	7035500000	11360870	1523225301976356	1523225301960000
7035550000	63720689890	7035560000	677934720	7035570000	1505870200	7035540000	5138242140	7035530000	1420000	7035500000	11360870	1523225302171755	1523225302157000
7035550000	63721779890	7035560000	677934720	7035570000	1505870200	7035540000	5138242140	7035530000	1420000	7035500000	11360870	1523225302180762	1523225302165000
7035550000	63721779890	7035560000	677934720	7035570000	1505870200	7035540000	5035242140	7035530000	1420000	7035500000	11360870	1523225303216114	1523225303087000
7035550000	63721779890	7035560000	677934720	7035570000	1505870200	7035540000	5033142140	7035530000	1420000	7035500000	11360870	1523225303738122	1523225303709000
