Date,FXE,EWJ,GLD,QQQ,SPY,SHV,DBA,USO,XBI,ILF,EPP,FEZ
2007/1/3,131.7200012,56.79999924,62.27999878,43.24000168,141.3699951,,,395.2000122,15.23666668,34.02999878,41.75999832,54.65000153
2007/1/4,130.9299927,57.40000153,61.65000153,44.06000137,141.6699982,,,379.1199951,15.5466671,33.62799835,41.04999924,54.61999893
2007/1/5,130.0899963,55.91999817,60.16999817,43.84999847,140.5399933,,25.02000046,382.6400146,15.53999996,32.75,40.49666595,53.66999817
2007/1/8,130.2700043,56.24000168,60.47999954,43.88000107,141.1900024,,24.97999954,379.9200134,15.59000015,33.14599991,40.81666565,53.70000076
2007/1/9,130.0599976,56.59999847,60.84999847,44.09999847,141.0700073,,24.65999985,378.3999939,15.63333321,32.29800034,40.93000031,53.56999969
2007/1/10,129.5700073,55.75999832,60.59000015,44.61999893,141.5399933,,24.72999954,362.8800049,15.76666641,32.59999847,40.56666565,52.99000168
2007/1/11,129.1000061,55.47999954,60.63000107,45.08000183,142.1600037,108.6999969,25.10000038,354.7200012,16.0466671,32.90399933,40.79999924,53.56999969
2007/1/12,129.3500061,56.20000076,62.16999817,45.31000137,143.2400055,108.7600021,27.10000038,357.0400085,16.29000092,33.41999817,41.43000031,53.95999908
2007/1/16,129.3699951,56.40000153,61.97000122,45.27999878,142.9600067,108.7399979,26,346.7200012,16.2966671,33.22999954,41.62333298,53.81999969
2007/1/17,129.4799957,56.40000153,62.63999939,44.90999985,143.0200043,108.8000031,25.87000084,353.7600098,16.32666588,33.34400177,41.73333359,53.5
2007/1/18,129.8200073,56.36000061,62.25999832,44.08000183,142.5399933,108.7900009,26,345.8399963,16.15333366,32.95999908,41.8133316,53.33000183
2007/1/19,129.8600006,56.75999832,63,44.16999817,142.8200073,108.7699966,25.85000038,355.4400024,16.16666603,33.59000015,42.51666641,53.99000168
2007/1/22,129.7400055,56.75999832,62.72000122,43.68999863,142.3800049,108.8099976,26.10000038,350.7200012,16,33.68000031,42.52000046,53.47000122
2007/1/23,130.5399933,57.08000183,64.23000336,43.58000183,142.8000031,108.8199997,26.56999969,365.2000122,15.89000034,34.47999954,43.18333435,53.88999939
2007/1/24,129.9499969,57.84000015,64.33000183,44.29999924,143.9499969,108.8799973,26.04999924,368.7999878,16.04333305,34.91999817,42.84666824,54.27000046
2007/1/25,129.7200012,56.88000107,64.05999756,43.72999954,142.2599945,108.8799973,25.93000031,362.1600037,15.82666683,33.95199966,41.74333191,53.5
2007/1/26,129.4700012,56.91999817,64.16999817,43.56999969,142.1300049,108.8700027,26.04000092,370.2399902,15.78666687,34.20000076,41.90333176,53.68000031
2007/1/29,129.8399963,57.11999893,63.77000046,43.61000061,142.0500031,108.9499969,25.60000038,359.7600098,15.8633337,33.75999832,41.93000031,53.81000137
2007/1/30,130.0299988,57.47999954,64.22000122,43.63000107,142.7899933,108.9499969,25.92000008,378.8800049,15.96333313,34.15000153,42.46666718,54.36000061
2007/1/31,130.75,57.24000168,64.83000183,44.06999969,143.75,109,25.89999962,385.9200134,15.92666626,34.87799835,42.40333176,54.66999817
2007/2/1,130.2400055,58,65.22000122,44,144.6100006,108.6900024,25.79999924,382.7200012,16.0233326,35.2140007,42.48333359,55
2007/2/2,129.7299957,57.63999939,64.27999878,44.15999985,144.8099976,108.7200012,26.03000069,394.7200012,15.96000004,35.29600143,42.75,54.83000183
2007/2/5,129.3699951,57.20000076,64.30999756,44.11999893,144.8500061,108.75,26.07999992,392.7999878,15.89000034,35.42200089,42.75,54.58000183
2007/2/6,129.8899994,57.68000031,64.79000092,44.06000137,144.8899994,108.7399979,25.70000076,393.6799927,15.8633337,35.65599823,43.15333176,54.91999817
2007/2/7,130.2100067,57.63999939,64.62999725,44.45999908,145.2100067,108.8000031,25.65999985,386,15.98666668,35.38600159,43.36333466,55.22999954
2007/2/8,130.5099945,56.91999817,65.51999664,44.45000076,145.0200043,108.7900009,25.87999916,398,16.0933342,35.41799927,43.56999969,55.22999954
2007/2/9,130.1600037,57.08000183,66.12000275,43.88000107,143.9400024,108.8199997,26.15999985,399.9200134,15.94333363,34.81999969,43.33333206,54.83000183
2007/2/12,129.7700043,57.04000092,65.66999817,43.70999908,143.4499969,108.8199997,25.94000053,386.9599915,16.35000038,34.6780014,42.97000122,54.47000122
2007/2/13,130.5,58.24000168,65.83999634,43.86000061,144.6600037,108.8199997,26.17000008,394.8800049,16.5,35.4640007,43.41666794,55.34000015
2007/2/14,131.4799957,59.20000076,66.37000275,44.59999847,145.6100006,108.8899994,26,387.6000061,16.52666664,36.20000076,43.86666489,55.88999939
2007/2/15,131.6399994,59.68000031,66.41000366,44.86000061,145.8000031,108.9000015,26.31999969,386.7999878,16.45666695,36.07799911,43.99333191,55.84999847
2007/2/16,131.6000061,59.63999939,66.36000061,44.70999908,145.7299957,108.9199982,26.73999977,394.7999878,16.60666656,36.02399826,44.03333282,55.75999832
2007/2/20,131.5899963,59.43999863,65.30999756,45.04999924,146.0399933,108.9300003,26.65999985,389.3599854,16.75,36.04000092,44.20999908,55.84999847
2007/2/21,131.6499939,59.47999954,67.34999847,45.18999863,145.9799957,108.9700012,26.95999908,398.8800049,16.69333267,36.06000137,44.2266655,55.56999969
2007/2/22,131.4799957,59.63999939,67.15000153,45.41999817,145.8699951,108.9700012,27.5,402.6400146,16.75666618,36.24000168,44.46333313,55.75999832
2007/2/23,131.9400024,60.15999985,67.72000122,45.25999832,145.3000031,109.0199966,27.19000053,403.6799927,16.73999977,35.70000076,44.68333435,55.88000107
2007/2/26,132.1399994,60.56000137,68.09999847,45.04000092,145.1699982,109.0299988,27.15999985,407.2000122,16.70000076,35.58399963,44.84000015,56.11999893
2007/2/27,132.6799927,59.11999893,65.41000366,43.18999863,139.5,109.0500031,26.53000069,399.6000061,16.03333282,32.75600052,42.21666718,53.45999908
2007/2/28,132.6499939,59.04000092,66.48000336,43.33000183,140.9299927,109.1200027,27,409.4400024,16.05666733,33.35800171,42.66999817,53.84999847
2007/3/1,131.9100037,58.75999832,65.81999969,43.13000107,140.5099945,108.8600006,26.63999939,409.9200134,15.7966671,33,41.95000076,53.06000137
2007/3/2,132,57.79999924,63.70999908,42.47999954,138.6699982,108.9199982,26.38999939,408.0799866,15.40999985,32.31999969,41.49333191,52.36000061
2007/3/5,131,56.95999908,62.93000031,42.15000153,137.3500061,108.9000015,26.34000015,396.9599915,15.27333355,31.57999992,40.21666718,51.41999817
2007/3/6,131.3500061,58.31999969,64.15000153,42.84999847,139.6999969,108.9100037,26.20000076,402.5599976,15.46000004,33.13600159,41.86666489,52.88000107
2007/3/7,131.9299927,58.20000076,64.30000305,42.68000031,139.5599976,108.9499969,26.44000053,410.3200073,15.39999962,32.85800171,41.72333145,52.77999878
2007/3/8,131.5099945,58.72000122,64.48000336,42.97000122,140.7400055,108.9599991,26.42000008,410.3200073,15.46333313,33.51599884,42.2266655,53.31999969
2007/3/9,131.2700043,58.75999832,64.25,42.93000031,140.7799988,108.9499969,26.30999947,400.8800049,15.48666668,33.93000031,42.49666595,53.49000168
2007/3/12,132.1399994,59.24000168,64.37000275,43.20999908,140.9900055,108.9800034,26.12999916,394.7999878,15.6133337,34.23600006,43.24000168,53.61000061
2007/3/13,132.1100006,58.15999985,63.72000122,42.36999893,138.25,109.0500031,25.88999939,391.519989,15.3166666,33.06000137,41.99000168,52.20000076
2007/3/14,132.4100037,57.63999939,63.93999863,42.99000168,139.2799988,109.0599976,25.97999954,393.1199951,15.38333321,33.47000122,42.31666565,52.36000061
