Date,FXE,EWJ,GLD,QQQ,SPY,SHV,DBA,USO,XBI,ILF
2009-11-04,148.49000549316406,38.439998626708984,107.0999984741211,41.33000183105469,104.91999816894531,110.16000366210938,26.229999542236328,327.9200134277344,16.02666664123535,45.029998779296875
2009-11-05,148.55999755859375,38.720001220703125,106.9800033569336,42.349998474121094,106.8499984741211,110.19999694824219,25.969999313354492,326.3999938964844,16.49333381652832,46.290000915527344
2009-11-06,148.3000030517578,38.47999954223633,107.43000030517578,42.599998474121094,107.12999725341797,110.18000030517578,25.520000457763672,317.6000061035156,16.606666564941406,46.13999938964844
2009-11-09,149.67999267578125,38.91999816894531,108.19000244140625,43.5099983215332,109.56999969482422,110.19000244140625,25.719999313354492,324.0,16.683332443237305,47.779998779296875
2009-11-10,149.6300048828125,38.63999938964844,108.38999938964844,43.619998931884766,109.58999633789062,110.20999908447266,25.489999771118164,323.2799987792969,16.729999542236328,47.7599983215332
2009-11-11,149.63999938964844,38.599998474121094,109.5999984741211,43.900001525878906,110.1500015258789,110.19000244140625,25.690000534057617,324.3999938964844,17.059999465942383,47.68000030517578
2009-11-12,148.22999572753906,37.959999084472656,108.20999908447266,43.650001525878906,109.02999877929688,110.19999694824219,25.510000228881836,314.1600036621094,16.899999618530273,46.45000076293945
2009-11-13,149.00999450683594,38.31999969482422,109.73999786376953,44.0099983215332,109.62000274658203,110.22000122070312,25.549999237060547,312.9599914550781,16.770000457763672,47.2400016784668
2009-11-16,149.57000732421875,38.68000030517578,111.62999725341797,44.459999084472656,111.20999908447266,110.19999694824219,26.049999237060547,322.32000732421875,17.10333251953125,48.20000076293945
2009-11-17,148.5399932861328,38.2400016784668,111.97000122070312,44.599998474121094,111.33999633789062,110.23999786376953,26.239999771118164,323.8399963378906,17.15999984741211,48.63999938964844
2009-11-18,149.39999389648438,37.84000015258789,112.25,44.349998474121094,111.2699966430664,110.23999786376953,26.25,325.3599853515625,17.016666412353516,47.95000076293945
2009-11-19,148.99000549316406,36.959999084472656,112.30000305175781,43.65999984741211,109.81999969482422,110.2300033569336,26.110000610351562,317.2799987792969,16.739999771118164,47.43000030517578
2009-11-20,148.44000244140625,37.2400016784668,112.94000244140625,43.439998626708984,109.43000030517578,110.25,26.030000686645508,315.3599853515625,16.72333335876465,46.970001220703125
2009-11-23,149.50999450683594,37.63999938964844,114.29000091552734,44.13999938964844,110.81999969482422,110.19000244140625,26.1200008392334,315.0400085449219,16.68000030517578,47.709999084472656
2009-11-24,149.4600067138672,37.15999984741211,114.7300033569336,43.9900016784668,110.98999786376953,110.23999786376953,25.93000030517578,308.6400146484375,16.746665954589844,47.880001068115234
