Date,FXE,EWJ
2007-01-03,131.72000122070312,56.79999923706055
2007-01-04,130.92999267578125,57.400001525878906
2007-01-05,130.08999633789062,55.91999816894531
2007-01-08,130.27000427246094,56.2400016784668
2007-01-09,130.05999755859375,56.599998474121094
2007-01-10,129.57000732421875,55.7599983215332
2007-01-11,129.10000610351562,55.47999954223633
2007-01-12,129.35000610351562,56.20000076293945
2007-01-16,129.3699951171875,56.400001525878906
2007-01-17,129.47999572753906,56.400001525878906
2007-01-18,129.82000732421875,56.36000061035156
2007-01-19,129.86000061035156,56.7599983215332
2007-01-22,129.74000549316406,56.7599983215332
2007-01-23,130.5399932861328,57.08000183105469
2007-01-24,129.9499969482422,57.84000015258789
2007-01-25,129.72000122070312,56.880001068115234
2007-01-26,129.47000122070312,56.91999816894531
2007-01-29,129.83999633789062,57.119998931884766
2007-01-30,130.02999877929688,57.47999954223633
2007-01-31,130.75,57.2400016784668
2007-02-01,130.24000549316406,58.0
2007-02-02,129.72999572753906,57.63999938964844
2007-02-05,129.3699951171875,57.20000076293945
2007-02-06,129.88999938964844,57.68000030517578
2007-02-07,130.2100067138672,57.63999938964844
2007-02-08,130.50999450683594,56.91999816894531
2007-02-09,130.16000366210938,57.08000183105469
2007-02-12,129.77000427246094,57.040000915527344
2007-02-13,130.5,58.2400016784668
2007-02-14,131.47999572753906,59.20000076293945
2007-02-15,131.63999938964844,59.68000030517578
2007-02-16,131.60000610351562,59.63999938964844
2007-02-20,131.58999633789062,59.439998626708984
2007-02-21,131.64999389648438,59.47999954223633
2007-02-22,131.47999572753906,59.63999938964844
2007-02-23,131.94000244140625,60.15999984741211
2007-02-26,132.13999938964844,60.560001373291016
2007-02-27,132.67999267578125,59.119998931884766
2007-02-28,132.64999389648438,59.040000915527344
2007-03-01,131.91000366210938,58.7599983215332
2007-03-02,132.0,57.79999923706055
2007-03-05,131.0,56.959999084472656
2007-03-06,131.35000610351562,58.31999969482422
2007-03-07,131.92999267578125,58.20000076293945
2007-03-08,131.50999450683594,58.720001220703125
2007-03-09,131.27000427246094,58.7599983215332
2007-03-12,132.13999938964844,59.2400016784668
2007-03-13,132.11000061035156,58.15999984741211
2007-03-14,132.41000366210938,57.63999938964844
2007-03-15,132.5500030517578,57.68000030517578
2007-03-16,133.3800048828125,57.63999938964844
2007-03-19,133.22999572753906,58.279998779296875
2007-03-20,133.47000122070312,58.79999923706055
2007-03-21,134.14999389648438,59.439998626708984
2007-03-22,133.66000366210938,59.52000045776367
2007-03-23,133.22999572753906,59.599998474121094
2007-03-26,133.64999389648438,59.279998779296875
2007-03-27,133.88999938964844,59.040000915527344
2007-03-28,133.44000244140625,58.599998474121094
2007-03-29,133.67999267578125,58.68000030517578
2007-03-30,133.92999267578125,58.279998779296875
2007-04-02,133.82000732421875,57.959999084472656
2007-04-03,133.42999267578125,58.439998626708984
2007-04-04,133.6999969482422,58.880001068115234
2007-04-05,134.41000366210938,58.720001220703125
2007-04-09,133.63999938964844,58.63999938964844
2007-04-10,134.4600067138672,58.84000015258789
2007-04-11,134.52000427246094,58.599998474121094
2007-04-12,135.02999877929688,58.52000045776367
2007-04-13,135.60000610351562,58.040000915527344
2007-04-16,135.66000366210938,58.880001068115234
2007-04-17,135.8699951171875,58.52000045776367
2007-04-18,136.13999938964844,58.599998474121094
2007-04-19,136.33999633789062,58.31999969482422
2007-04-20,136.19000244140625,58.560001373291016
2007-04-23,136.0,57.91999816894531
2007-04-24,136.64999389648438,57.84000015258789
2007-04-25,136.74000549316406,58.15999984741211
2007-04-26,136.32000732421875,57.880001068115234
2007-04-27,136.94000244140625,57.560001373291016
2007-04-30,136.91000366210938,57.119998931884766
2007-05-01,136.13999938964844,57.119998931884766
2007-05-02,136.0,57.439998626708984
2007-05-03,135.60000610351562,57.52000045776367
2007-05-04,136.05999755859375,57.720001220703125
2007-05-07,136.07000732421875,58.0
2007-05-08,135.50999450683594,57.880001068115234
2007-05-09,135.5399932861328,58.599998474121094
2007-05-10,135.0,57.720001220703125
2007-05-11,135.49000549316406,58.15999984741211
2007-05-14,135.57000732421875,58.0
2007-05-15,136.0,57.52000045776367
2007-05-16,135.44000244140625,57.63999938964844
2007-05-17,135.10000610351562,57.15999984741211
2007-05-18,135.3800048828125,57.0
2007-05-21,134.94000244140625,57.0
2007-05-22,134.69000244140625,57.560001373291016
2007-05-23,134.92999267578125,57.63999938964844
2007-05-24,134.5500030517578,57.36000061035156
2007-05-25,134.75,57.119998931884766
2007-05-29,134.77000427246094,57.720001220703125
2007-05-30,134.69000244140625,57.84000015258789
2007-05-31,134.86000061035156,58.400001525878906
2007-06-01,134.3000030517578,58.720001220703125
2007-06-04,134.9199981689453,58.91999816894531
2007-06-05,135.25999450683594,58.84000015258789
2007-06-06,135.05999755859375,58.599998474121094
2007-06-07,134.2899932861328,58.36000061035156
2007-06-08,133.7100067138672,58.63999938964844
2007-06-11,133.64999389648438,58.560001373291016
2007-06-12,133.14999389648438,57.79999923706055
2007-06-13,133.36000061035156,57.959999084472656
2007-06-14,133.2899932861328,58.040000915527344
2007-06-15,133.99000549316406,58.560001373291016
2007-06-18,134.25999450683594,58.439998626708984
2007-06-19,134.42999267578125,58.400001525878906
2007-06-20,134.3000030517578,58.0
2007-06-21,134.13999938964844,58.279998779296875
2007-06-22,134.9199981689453,57.720001220703125
2007-06-25,134.9600067138672,57.400001525878906
2007-06-26,134.8699951171875,57.47999954223633
2007-06-27,134.80999755859375,57.599998474121094
2007-06-28,134.8000030517578,57.47999954223633
