position,name,age,country,gender,wealthSource,industry,worth
1242,Bruce Karsh,62,United States,M,private equity,Finance and Investments,2000
1243,Henry Laufer,72,United States,M,hedge funds,Finance and Investments,2000
1244,Lee Boo-Jin,47,South Korea,F,"computer services, tourism",Service,2000
1245,Lee Jay-Hyun,58,South Korea,M,"food products, entertainment",Diversified,2000
1246,Wolfgang Leitner,65,Austria,M,engineering,Construction & Engineering,2000
1247,Li Ge,51,China,M,biotech,Healthcare,2000
1248,Harald Link,63,Thailand,M,diversified,Diversified,2000
1249,Liu Ming Hui,55,China,M,natural gas distribution,Energy,2000
1250,Jeffrey Lurie,66,United States,M,Philadelphia Eagles,Sports,2000
1251,Ma Xingtian,48,China,M,pharmaceuticals,Healthcare,2000
1252,Sarah MacMillan,64,United States,F,Cargill,Food and Beverage,2000
1253,Howard Marks,72,United States,M,private equity,Finance and Investments,2000
1254,Miao Shouliang,63,China,M,real estate,Real Estate,2000
1255,Lachhman Das Mittal,87,India,M,tractors,Automotive,2000
1256,Mario Moretti Polegato,65,Italy,M,shoes,Fashion & Retail,2000
1257,Vadim Moshkovich,51,Russia,M,"agriculture, land",Food and Beverage,2000
1258,Mofatraj Munot,73,India,M,real estate,Real Estate,2000
1259,Jonathan Nelson,62,United States,M,private equity,Finance and Investments,2000
1260,Florentino Perez,71,Spain,M,construction,Construction & Engineering,2000
1262,Peter Peterson,92,United States,M,investments,Finance and Investments,2000
1263,Arvind Poddar,60,India,M,tires,Automotive,2000
1264,Murdaya Poo,77,Indonesia,M,diversified,Diversified,2000
1265,Ren Zhengfei,74,China,M,telecom equipment,Telecom,2000
1266,Antony Ressler,56,United States,M,finance,Finance and Investments,2000
1267,Francisco Jose Riberas Mera,54,Spain,M,"steel, autoparts",Manufacturing,2000
1268,Rodney Sacks,68,United States,M,energy drinks,Food and Beverage,2000
1269,Hilton Schlosberg,65,United Kingdom,M,energy drinks,Food and Beverage,2000
1270,Brian Sheth,42,United States,M,investments,Finance and Investments,2000
1271,Lucy Stitzer,58,United States,F,Cargill,Food and Beverage,2000
1272,Su Suyu,69,China,F,"utilities, real estate",Real Estate,2000
1273,Satoshi Suzuki,64,Japan,M,cosmetics,Fashion & Retail,2000
1274,Katherine Tanner,62,United States,F,Cargill,Food and Beverage,2000
1275,Arvind Tiku,48,India,M,"oil & gas, investments",Energy,2000
1276,Wang Liping,52,China,M,hydraulic machinery,Manufacturing,2000
1277,Wang Xicheng,69,China,M,tires,Manufacturing,2000
1278,Wei Shaojun,55,China,M,real estate,Real Estate,2000
1279,Amy Wyss,47,United States,F,medical equipment,Healthcare,2000
1280,Jon Yarbrough,61,United States,M,video games,Gambling & Casinos,2000
1281,Vladimir Yevtushenkov,69,Russia,M,"telecom, investments",Telecom,2000
1282,Charles Zegar,70,United States,M,Bloomberg LP,Media & Entertainment,2000
1283,Zhu Baoguo,56,China,M,pharmaceuticals,Healthcare,2000
1284,Saif Al Ghurair,94,United Arab Emirates,M,diversified,Diversified,1900
1285,Syed Mokhtar AlBukhary,66,Malaysia,M,"engineering, energy, construction",Diversified,1900
1286,Miriam Baumann-Blocher,43,Switzerland,F,chemicals,Manufacturing,1900
1287,Albert Berner,82,Germany,M,fasteners,Manufacturing,1900
1288,Thomas Bruch,68,Germany,M,retail,Fashion & Retail,1900
1289,Chang Yun Chung,99,Singapore,M,shipping,Logistics,1900
1292,Benjamin de Rothschild,54,Switzerland,M,banking,Finance and Investments,1900
1293,James Dinan,59,United States,M,hedge funds,Finance and Investments,1900
1294,Charles Edelstenne,80,France,M,aviation,Manufacturing,1900
1295,Bernd Freier,61,Germany,M,fashion retail,Fashion & Retail,1900
1296,Bill Gross,74,United States,M,investments,Finance and Investments,1900
1297,Jeffrey Gundlach,59,United States,M,investments,Finance and Investments,1900
1298,Suat Gunsel,65,Cyprus,M,"real estate, education",Real Estate,1900
1299,Shmuel Harlap,73,Israel,M,automotive,Automotive,1900
1300,Roberto Hernandez Ramirez,76,Mexico,M,banking,Finance and Investments,1900
1301,Johannes Kaercher,67,Germany,M,"vacuums, cleaning products",Manufacturing,1900
1302,Friedrich Knapp,67,Germany,M,fashion retail,Fashion & Retail,1900
1303,Lee Myung-Hee,74,South Korea,F,retail,Fashion & Retail,1900
1304,Lee Seo-Hyun,44,South Korea,F,"computer services, tourism",Diversified,1900
1305,Liang Jiankun,56,China,M,cobalt mining,Metals & Mining,1900
1306,Liao Long-shing,65,Taiwan,M,petrochemicals,Manufacturing,1900
1307,Lin Shu-Hong,89,Taiwan,M,petrochemicals,Manufacturing,1900
1308,Yasseen Mansour,56,Egypt,M,diversified,Diversified,1900
1309,David Nahmad,71,Monaco,M,art collection,Fashion & Retail,1900
1310,Alexander Nesis,55,Russia,M,"metals, banking, fertilizers",Finance and Investments,1900
1311,Nandan Nilekani,63,India,M,software services,Technology,1900
1312,Ranjan Pai,45,India,M,education,Service,1900
1313,Park Hyeon-Joo,59,South Korea,M,mutual funds,Finance and Investments,1900
1314,Jennifer Pritzker,67,United States,F,"hotels, investments",Service,1900
1315,Qiu Jianping,56,China,M,hand tools,Manufacturing,1900
1316,Megdet Rahimkulov,72,Russia,M,investments,Finance and Investments,1900
1317,Vito Rodriguez Rodriguez,79,Peru,M,processed milk,Diversified,1900
1318,Stephen Rubin,81,United Kingdom,M,sports apparel,Fashion & Retail,1900
1319,Remo Ruffini,56,Italy,M,winter jackets,Fashion & Retail,1900
1320,Erik Selin,51,Sweden,M,real estate,Real Estate,1900
1321,Peter Sondakh,68,Indonesia,M,investments,Finance and Investments,1900
1322,Alan N. Trefler,62,United States,M,software,Technology,1900
1323,Tseng Shin-yi,90,Taiwan,M,petrochemicals,Manufacturing,1900
1324,Masateru Uno,71,Japan,M,drugstores,Fashion & Retail,1900
1325,Wang Qingtao,56,China,M,steel smelting,Metals & Mining,1900
1326,Evan Williams,46,United States,M,Twitter,Technology,1900
1327,Gustav Magnar Witzoe,25,Norway,M,fish farming,Food and Beverage,1900
1328,Horst Wortmann,77,Germany,M,footwear,Fashion & Retail,1900
1329,Xiao Yongming,53,China,M,fertilizer,Diversified,1900
1330,Xie Zhikun,57,China,M,investments,Finance and Investments,1900
1331,Xue Xiangdong,59,China,M,software,Technology,1900
1332,Yuan Yafei,54,China,M,"retail, investments",Fashion & Retail,1900
1333,Robin Zeng,50,Hong Kong,M,batteries,Energy,1900
1334,Zhang Daocai,68,China,M,valves,Diversified,1900
1335,Zhang Xuansong,46,China,M,supermarket,Fashion & Retail,1900
1336,Zheng Yuewen,56,China,M,investments,Diversified,1900
1337,Zhou Xiaoguang,56,China,F,real estate,Real Estate,1900
1338,Susanne Zimmermann von Siefart ,61,Germany,F,"vacuums, home cleaning products",Manufacturing,1900
1339,Aras Agalarov,62,Russia,M,real estate,Fashion & Retail,1800
1340,Maurice Alter,93,Australia,M,real estate,Real Estate,1800
1341,An Kang,69,China,M,pharmaceuticals,Healthcare,1800
1342,Alex Beard,50,United Kingdom,M,"mining, commodities",Metals & Mining,1800
1343,Nicolas Berggruen,56,United States,M,investments,Finance and Investments,1800
1344,Vladimir Bogdanov,67,Russia,M,oil,Energy,1800
1345,Julio Bozano,82,Brazil,M,banking,Finance and Investments,1800
1346,Anna Maria Braun,39,Germany,F,medical technology,Healthcare,1800
1347,Johanna Braun,38,Germany,F,medical technology,Healthcare,1800
1348,Karl Friedrich Braun,35,Germany,M,medical technology,Healthcare,1800
1349,Anand Burman,66,India,M,consumer goods,Food and Beverage,1800
1350,Edouard Carmignac,70,France,M,asset management,Finance and Investments,1800
1351,Chen Jianhua,47,China,M,chemicals,Manufacturing,1800
1352,Cheung Yan,61,China,F,paper manufacturing,Manufacturing,1800
1353,Chung Mong-Joon,66,South Korea,M,"shipbuilding, industrial machines",Manufacturing,1800
1354,Jack Cowin,75,Australia,M,fast food,Food and Beverage,1800
1355,Cui Genliang,60,China,M,electric components,Manufacturing,1800
1356,Kommer Damen,74,Netherlands,M,shipbuilding,Manufacturing,1800
1357,Diego Della Valle,64,Italy,M,shoes,Fashion & Retail,1800
1358,Dou Zhenggang,65,China,M,"energy, chemicals",Diversified,1800
1359,N. Murray Edwards,58,Canada,M,oil & gas,Energy,1800
1360,Gabriel Escarrer,83,Spain,M,hotels,Service,1800
1361,Clement Fayat,86,France,M,construction,Construction & Engineering,1800
1362,James France,73,United States,M,"Nascar, racing",Sports,1800
1363,Senapathy Gopalakrishnan,63,India,M,software services,Technology,1800
1364,David Harding,56,United Kingdom,M,finance,Finance and Investments,1800
1365,Stewart Horejsi,80,United States,M,Berkshire Hathaway,Finance and Investments,1800
1366,Huang Qisen,53,China,M,real estate,Real Estate,1800
1367,Hamilton James,66,United States,M,investments,Finance and Investments,1800
1368,John Kapoor,74,United States,M,healthcare,Healthcare,1800
1369,William Lauder,58,United States,M,Estee Lauder,Fashion & Retail,1800
1370,Li Zongsong,51,China,M,pharmaceuticals,Healthcare,1800
1371,Willy Michel,71,Switzerland,M,medical devices,Healthcare,1800
1372,Masahiro Noda,79,Japan,M,software,Technology,1800
1373,Gregorio Perez Companc,82,Argentina,M,oil & gas,Energy,1800
1374,Linda Pritzker,64,United States,F,"hotels, investments",Service,1800
1375,Qin Hui,50,China,M,movie theaters,Media & Entertainment,1800
1376,Matthias Reinhart,58,Switzerland,M,finance,Finance and Investments,1800
1377,Brian Roberts,58,United States,M,Comcast,Service,1800
1378,Alberto Roemmers,91,Argentina,M,pharmaceuticals,Healthcare,1800
1379,Gerald Schwartz,76,Canada,M,finance,Finance and Investments,1800
1380,Thaksin Shinawatra,68,Thailand,M,investments,Finance and Investments,1800
1381,William Stone,63,United States,M,software,Technology,1800
1382,Petter Stordalen,55,Norway,M,hotels,Service,1800
1383,Julia Stoschek,43,Germany,F,auto parts,Automotive,1800
1385,Sun Shoukuan,68,China,M,metals. coal,Manufacturing,1800
1386,Ba Duong Tran,58,Vietnam,M,automotive,Automotive,1800
1387,Hamdi Ulukaya,45,Turkey,M,greek yogurt,Food and Beverage,1800
1388,Wong Luen Hei,56,China,M,building materials,Manufacturing,1800
1389,Wu Yulan,48,China,F,pharmaceuticals,Healthcare,1800
1390,Xu Hang,52,China,M,medical devices,Healthcare,1800
1391,Yang Erzhu,67,China,M,real estate,Real Estate,1800
1392,Yao Kuizhang,53,China,M,beverages,Food and Beverage,1800
1393,Sheng Jian Zhong,60,Singapore,M,real estate,Real Estate,1800
1394,Marcel Adams,97,Canada,M,real estate,Real Estate,1700
1395,"Herbert Allen, Jr.",78,United States,M,investment banking,Finance and Investments,1700
1396,Michael Ashcroft,72,United Kingdom,M,security,Finance and Investments,1700
1397,Roman Avdeev,50,Russia,M,"banking, development",Finance and Investments,1700
1398,Emilio Azcarraga Jean,50,Mexico,M,TV broadcasting,Media & Entertainment,1700
1399,Sezai Bacaksiz,68,Turkey,M,diversified,Diversified,1700
1400,Lesley Bamberger,53,Netherlands,M,real estate,Real Estate,1700
1401,Angela Bennett,74,Australia,F,mining,Metals & Mining,1700
1402,Hubertus Benteler,71,Germany,M,auto parts,Automotive,1700
1403,Ludwig Theodor Braun,28,Germany,M,medical technology,Healthcare,1700
1404,Nicola Bulgari,77,Italy,M,luxury goods,Fashion & Retail,1700
1405,Paolo Bulgari,80,Italy,M,luxury goods,Fashion & Retail,1700
1406,Chen Dejun,48,China,M,package delivery,Logistics,1700
1407,Tony Chen,49,Taiwan,M,eletronics,Technology,1700
1408,Chen Xueli,67,China,M,pharmaceuticals,Healthcare,1700
1409,Luigi Cremonini,79,Italy,M,meat processing,Food and Beverage,1700
1410,Dominique Desseigne,73,France,M,casinos,Gambling & Casinos,1700
1411,Sefik Yilmaz Dizdar,80,Turkey,M,fashion retail,Fashion & Retail,1700
1412,Domenico Dolce,59,Italy,M,luxury goods,Fashion & Retail,1700
1413,Pavel Durov,33,Russia,M,messaging app,Technology,1700
1414,John Farber,92,United States,M,chemicals,Manufacturing,1700
1415,Robert Fisher,64,United States,M,Gap,Service,1700
1416,William Fisher,61,United States,M,Gap,Fashion & Retail,1700
1417,Stefano Gabbana,55,Italy,M,luxury goods,Fashion & Retail,1700
1418,Rolf Gerling,63,Germany,M,insurance,Finance and Investments,1700
1419,Serge Godin,68,Canada,M,information technology,Technology,1700
1420,Sergei Gordeev,45,Russia,M,real estate,Real Estate,1700
1421,Mehmet Nazif Gunal,70,Turkey,M,"tourism, construction",Diversified,1700
1422,Yusuf Hamied,81,India,M,pharmaceuticals,Healthcare,1700
1423,Gerry Harvey,78,Australia,M,retail,Fashion & Retail,1700
1424,Timothy Headington,68,United States,M,"oil & gas, investments",Energy,1700
1425,Huang Chulong,59,Canada,M,real estate,Real Estate,1700
1426,Huo Qinghua,57,China,M,coal,Energy,1700
1427,Devendra Jain,89,India,M,chemicals,Manufacturing,1700
1428,Jiang Yintai,67,China,M,auto parts,Automotive,1700
1429,"Jim Justice, II.",67,United States,M,coal,Metals & Mining,1700
1430,Kim Jun-Ki,73,South Korea,M,diversified,Diversified,1700
1431,William Koch,78,United States,M,"oil, investments",Energy,1700
1432,Anthony Langley,63,United Kingdom,M,manufacturing,Diversified,1700
1433,Marc Lasry,57,United States,M,hedge funds,Finance and Investments,1700
1434,Peter Leibinger,51,Germany,M,machine tools,Manufacturing,1700
1435,Regine Leibinger,55,Germany,F,machine tools,Manufacturing,1700
1436,Li San Yim,68,China,M,construction equipment,Manufacturing,1700
1437,David Lichtenstein,56,United States,M,real estate,Real Estate,1700
1438,Lim Oon Kuin,74,Singapore,M,oil trading,Energy,1700
1439,Liu Ming Chung,55,Brazil,M,paper manufacturing,Manufacturing,1700
1440,Ma Xiuhui,47,China,F,LED lighting,Manufacturing,1700
1441,Prayudh Mahagitsiri,72,Thailand,M,"coffee, shipping",Food and Beverage,1700
1442,Anand Mahindra,63,India,M,automobiles,Automotive,1700
1443,Kishore Mariwala,83,India,M,consumer goods,Food and Beverage,1700
1444,Craig McCaw,68,United States,M,telecom,Telecom,1700
1445,Miguel McKelvey,43,United States,M,WeWork,Real Estate,1700
1446,Vincent McMahon,72,United States,M,wrestling,Sports,1700
1447,David McMurtry,78,United Kingdom,M,manufacturing,Manufacturing,1700
1448,Gary Michelson,69,United States,M,medical patents,Healthcare,1700
1449,Massimo Moratti,73,Italy,M,oil refinery,Energy,1700
1450,Farhad Moshiri,63,United Kingdom,M,diversified,Diversified,1700
1451,Jerry Moyes,74,United States,M,Transportation,Logistics,1700
1452,Charles Munger,94,United States,M,Berkshire Hathaway,Finance and Investments,1700
1453,Kerr Neilson,68,Australia,M,investment,Finance and Investments,1700
1454,Ou Zongrong,54,China,M,real estate,Real Estate,1700
1455,Nihat Ozdemir,68,Turkey,M,diversified,Diversified,1700
1456,Pan Weiming,54,China,M,real estate,Real Estate,1700
1457,Park Yeon-Cha,72,South Korea,M,sneakers,Manufacturing,1700
1458,Nelson Peltz,76,United States,M,investments,Finance and Investments,1700
1459,Roger Penske,81,United States,M,cars,Automotive,1700
1460,Qi Jinxing,56,China,M,real estate,Real Estate,1700
1461,Qi Shi,48,China,M,financial information,Technology,1700
1462,Theodore Rachmat,74,Indonesia,M,diversified,Diversified,1700
1463,Juan Maria Riberas Mera,49,Spain,M,steel,Metals & Mining,1700
1464,Vijay Shekhar Sharma,40,India,M,financial technology,Service,1700
1465,Konstantin Strukov,59,Russia,M,"gold, coal mining",Metals & Mining,1700
1466,Henry Swieca,61,United States,M,hedge funds,Finance and Investments,1700
1467,Wichai Thongtang,71,Thailand,M,investments,Real Estate,1700
1468,Torsten Toeller,52,Germany,M,pet food,Fashion & Retail,1700
1469,Roman Trotsenko,47,Russia,M,"transport, engineering, real estate",Logistics,1700
1470,Todd Wagner,57,United States,M,online media,Media & Entertainment,1700
1471,Wang Chaobin,62,China,M,real estate,Real Estate,1700
1472,Wang Yanqing,52,China,M,electrical equipment,Manufacturing,1700
1473,John Whittaker,76,United Kingdom,M,real estate,Real Estate,1700
1474,Wu Guangming,56,China,M,medical equipment,Healthcare,1700
1475,Xu Qiming,54,China,M,"food, art",Diversified,1700
1476,Zhang Xiaojuan,48,China,F,logistics,Logistics,1700
1477,Melih Abdulhayoglu,50,Turkey,M,internet security,Technology,1600
1478,Radhe Shyam Agarwal,73,India,M,consumer goods,Fashion & Retail,1600
1479,Mohamed Al Fayed,89,Egypt,M,"retail, investments",Fashion & Retail,1600
1480,Faisal Bin Qassim Al Thani,70,Qatar,M,"hotels, diversified",Diversified,1600
1481,William F. Austin,76,United States,M,hearing aids,Manufacturing,1600
1482,Louis Bacon,61,United States,M,hedge funds,Finance and Investments,1600
1483,Achal Bakeri,58,India,M,air coolers,Manufacturing,1600
1484,Othman Benjelloun,85,Morocco,M,"banking, insurance",Finance and Investments,1600
1485,William Berkley,71,United States,M,insurance,Finance and Investments,1600
1486,Aneel Bhusri,52,United States,M,business software,Technology,1600
1487,O. Francis Biondi,53,United States,M,hedge funds,Finance and Investments,1600
1488,John Bloor,75,United Kingdom,M,"real estate, manufacturing",Diversified,1600
1489,David Booth,72,United States,M,mutual funds,Finance and Investments,1600
1490,Cai Wensheng,48,China,M,photo sharing app,Technology,1600
1491,Ahmet Calik,60,Turkey,M,"energy, banking, construction",Diversified,1600
1492,Michel Chalhoub,86,France,M,retail,Fashion & Retail,1600
1493,Chen Xiaoying,41,China,F,package delivery,Logistics,1600
1494,Cho Jung-Ho,59,South Korea,M,finance,Finance and Investments,1600
1495,Turgay Ciner,62,Turkey,M,diversified,Diversified,1600
1496,Steve Conine,45,United States,M,online retail,Technology,1600
1497,Jacques D'Amours,61,Canada,M,retail,Fashion & Retail,1600
1498,Robert Defares,56,Netherlands,M,electronic trading,Finance and Investments,1600
1499,Alexander Dzhaparidze,62,Russia,M,oil services,Energy,1600
1500,Stephen Feinberg,58,United States,M,private equity,Finance and Investments,1600
1501,Paul Foster,60,United States,M,oil refining,Energy,1600
1502,Mario Gabelli,76,United States,M,money management,Finance and Investments,1600
1504,Radhe Shyam Goenka,72,India,M,consumer goods,Fashion & Retail,1600
1505,Christopher Goldsbury,75,United States,M,salsa,Food and Beverage,1600
1506,Stelios Haji-Ioannou,51,Cyprus,M,EasyJet,Service,1600
1507,Ilkka Herlin,59,Finland,M,"elevators, escalators",Manufacturing,1600
1508,Brian Higgins,53,United States,M,hedge funds,Finance and Investments,1600
1509,Stephen Jarislowsky,92,Canada,M,money management,Finance and Investments,1600
1510,Michael Jordan,55,United States,M,"Charlotte Hornets, endorsements",Sports,1600
1511,Kenji Kasahara,42,Japan,M,social network,Technology,1600
1512,Kim Taek-Jin,51,South Korea,M,online games,Gambling & Casinos,1600
1513,Edward Lampert,55,United States,M,Sears,Finance and Investments,1600
1514,Thomas Lau,64,Hong Kong,M,department stores,Fashion & Retail,1600
1515,Thai Lee,59,United States,F,IT provider,Technology,1600
1516,Lei Jufang,65,China,F,pharmaceuticals,Healthcare,1600
1517,Li Li,54,China,M,pharmaceuticals,Healthcare,1600
1518,Li Liufa,61,China,M,"steel, diversified",Diversified,1600
1519,Liu Hanyuan,54,China,M,agribusiness,Food and Beverage,1600
1520,Pier Luigi Loro Piana,66,Italy,M,fashion,Fashion & Retail,1600
1521,Billy Joe (Red) McCombs,90,United States,M,"real estate, oil, cars, sports",Diversified,1600
1522,Gian Marco Moratti,81,Italy,M,oil refinery,Energy,1600
1523,Manuel Moroun,91,United States,M,transportation,Logistics,1600
1524,Robert Mouawad,73,Lebanon,M,fine jewelry,Service,1600
1525,Marius Nacht,52,Israel,M,software,Technology,1600
1526,Ni Zugen,61,China,M,appliances,Manufacturing,1600
1527,Lirio Parisotto,64,Brazil,M,investments,Finance and Investments,1600
1528,Karl-Johan Persson,43,Sweden,M,H&M,Fashion & Retail,1600
1529,Tom Persson,33,Sweden,M,H&M,Fashion & Retail,1600
1530,Dmitry Pumpyansky,54,Russia,M,steel pipes,Metals & Mining,1600
1531,Ruan Shuilong,82,China,M,chemicals,Manufacturing,1600
1532,Jean Salata,52,Chile,M,finance,Finance and Investments,1600
1533,Sheryl Sandberg,48,United States,F,Facebook,Technology,1600
1534,Niraj Shah,44,United States,M,online retail,Technology,1600
1535,Shin Dong-Guk,68,South Korea,M,Pharmaceuticals,Healthcare,1600
1536,Ben Silbermann,35,United States,M,Pinterest,Technology,1600
1537,Charlotte Soderstrom,41,Sweden,F,H&M,Fashion & Retail,1600
1538,Thomas Steyer,60,United States,M,hedge funds,Finance and Investments,1600
1539,Su Weizhong,49,China,M,"oil, fertilizers",Energy,1600
1540,David Teoh,62,Australia,M,telecoms,Telecom,1600
1541,Wang Jinshu,61,China,M,chemicals,Manufacturing,1600
1542,Wang Yaohai,51,China,M,lighting,Technology,1600
1543,Charlotte Colket Weber,75,United States,F,Campbell Soup,Food and Beverage,1600
1544,Wei Ing-Chou,65,Taiwan,M,"food, beverages",Food and Beverage,1600
1545,Yin-Chun Wei,61,Taiwan,M,"food, beverages",Food and Beverage,1600
1546,Wei Yin-Heng,59,Taiwan,M,"food, beverages",Food and Beverage,1600
1547,Wei Ying-Chiao,63,Taiwan,M,"food, beverages",Food and Beverage,1600
1548,Richard White,63,Australia,M,software,Technology,1600
1549,Allan Wong,68,Hong Kong,M,electronics,Manufacturing,1600
1550,Wong Kwong Yu,49,China,M,retail,Fashion & Retail,1600
1551,Wu Jianshu,54,Hong Kong,M,auto parts,Automotive,1600
1552,Wu Xu,54,St. Kitts and Nevis,M,real estate,Real Estate,1600
1553,Wu Xushun,70,China,M,"internet, auto parts",Diversified,1600
1554,Luis Enrique Yarur Rey,67,Chile,M,banking,Finance and Investments,1600
1555,Albert Yeung,75,Hong Kong,M,"real estate, retail",Diversified,1600
1556,Yu Rong,46,China,M,health clinics,Healthcare,1600
1557,Kostyantin Zhevago,44,Ukraine,M,mining,Metals & Mining,1600
1558,Zhou Chengjian,53,China,M,fashion retail,Fashion & Retail,1600
1559,Zhou Yaoting,75,China,M,"apparel, real estate",Diversified,1600
1560,Zhuang Kuilong,56,China,M,polyester,Manufacturing,1600
1562,Khalifa Bin Butti Al Muhairi,39,United Arab Emirates,M,"hospitals, investments",Diversified,1500
1563,Folorunsho Alakija,67,Nigeria,F,oil,Energy,1500
1564,Bill Alfond,70,United States,M,shoes,Fashion & Retail,1500
1565,Susan Alfond,72,United States,F,shoes,Fashion & Retail,1500
1566,Ted Alfond,73,United States,M,shoes,Fashion & Retail,1500
1567,Joy Alukkas,61,India,M,jewelry,Fashion & Retail,1500
1568,Andrey Andreev,44,United Kingdom,M,online dating,Technology,1500
1569,Carol Jenkins Barnett,61,United States,F,Publix supermarkets,Food and Beverage,1500
1570,Oleg Boyko,53,Russia,M,diversified,Diversified,1500
1571,Ana Maria Brescia Cafferata,94,Peru,F,"mining, banking",Diversified,1500
1572,Binod Chaudhary,63,Nepal,M,diversified,Diversified,1500
1573,Che Fengsheng,55,China,M,pharmaceuticals,Healthcare,1500
1574,Chen Qingzhou,52,China,M,communications equipment,Telecom,1500
1575,Richard Desmond,66,United Kingdom,M,publishing,Media & Entertainment,1500
1576,Mohammed Dewji,43,Tanzania,M,diversified,Diversified,1500
1577,Carl Douglas,57,Sweden,M,investments,Diversified,1500
1578,Eric Douglas,50,Sweden,M,investments,Diversified,1500
1579,Bulent Eczacibasi,68,Turkey,M,"pharmaceuticals, diversified",Diversified,1500
1580,Faruk Eczacibasi,64,Turkey,M,"pharmaceuticals, diversified",Diversified,1500
1581,Martha Ford,92,United States,F,Ford Motor,Automotive,1500
1582,Yasuhiro Fukushima,70,Japan,M,video games,Media & Entertainment,1500
1583,Reinold Geiger,70,Austria,M,beauty products,Fashion & Retail,1500
1584,Saad Hariri,48,Lebanon,M,"construction, investments",Construction & Engineering,1500
1585,Richard Hayne,70,United States,M,Urban Outfitters,Fashion & Retail,1500
1586,Ilona Herlin,53,Finland,F,"elevators, escalators",Manufacturing,1500
1587,Asok Kumar Hiranandani,63,Singapore,M,real estate,Real Estate,1500
1588,Niranjan Hiranandani,68,India,M,real estate,Real Estate,1500
1589,Huang Qiaoling,59,China,M,amusement parks,Media & Entertainment,1500
1590,Huang Zhuangmian,48,China,M,logistics,Logistics,1500
1591,Hal Jackman,86,Canada,M,"insurance, investments",Finance and Investments,1500
1592,Anurang Jain,56,India,M,auto parts,Manufacturing,1500
1593,Keeree Kanjanapas,67,Thailand,M,transportation,Real Estate,1500
1594,Kim Nam-Jung,45,South Korea,M,food,Food and Beverage,1500
1595,Seth Klarman,61,United States,M,investments,Finance and Investments,1500
1596,Alexander Klyachin,51,Russia,M,real estate,Real Estate,1500
1597,Yuriy Kosiuk,50,Ukraine,M,agriculture,Food and Beverage,1500
1598,Miguel Krigsner,68,Brazil,M,cosmetics,Fashion & Retail,1500
1599,Lee Yin Yee,66,China,M,glass,Manufacturing,1500
1600,Nicola Leibinger-Kammueller,58,Germany,F,manufacturing,Manufacturing,1500
1601,Li Weiwei,41,China,M,online games,Technology,1500
1602,William Li,43,China,M,automobiles,Automotive,1500
1603,Li Yihai,55,China,M,pharmaceuticals,Healthcare,1500
1604,Li Yong,41,China,M,chemicals,Manufacturing,1500
1605,Lin Ming-hsiung,68,Taiwan,M,supermarkets,Fashion & Retail,1500
1606,Lou Zhongfu,64,China,M,real estate,Real Estate,1500
1607,Low Tuck Kwong,70,Indonesia,M,coal,Energy,1500
1608,P.N.C. Menon,69,Oman,M,real estate,Real Estate,1500
1609,Thomas Meyer,58,Switzerland,M,apparel retailer,Fashion & Retail,1500
1610,Ezra Nahmad,72,Monaco,M,art,Finance and Investments,1500
1611,Judith Neilson,72,Australia,F,investments,Finance and Investments,1500
1612,Madeleine Olsson Ericksson,73,Sweden,F,diversified,Diversified,1500
1613,Ou Zonghong,48,China,M,real estate,Real Estate,1500
1614,Eren Ozmen,59,United States,F,aerospace,Manufacturing,1500
1615,Fatih Ozmen,60,United States,M,aerospace,Manufacturing,1500
1616,Jose Isaac Peres,77,Brazil,M,shopping malls,Real Estate,1500
1617,Mark Pincus,52,United States,M,online games,Technology,1500
1618,Kevin Plank,45,United States,M,Under Armour,Fashion & Retail,1500
1619,"Nicholas Pritzker, II.",74,United States,M,"hotels, investments",Service,1500
1620,Que Wenbin,54,China,M,pharmaceuticals,Healthcare,1500
1621,Jorge Rodriguez Rodriguez,72,Peru,M,processed milk,Diversified,1500
1622,Nobutada Saji,72,Japan,M,beverages,Food and Beverage,1500
1623,Thomas Sandell,57,Sweden,M,hedge funds,Finance and Investments,1500
1624,Eddy Kusnadi Sariaatmadja,64,Indonesia,M,"media, tech",Media & Entertainment,1500
1625,Fayez Sarofim,89,United States,M,money management,Finance and Investments,1500
1626,Monika Schoeller,79,Germany,F,publishing,Media & Entertainment,1500
1627,Antonio Luiz Seabra,75,Brazil,M,cosmetics,Fashion & Retail,1500
1628,Yuri Shefler,50,Russia,M,alcohol,Food and Beverage,1500
1629,Rajju Shroff,84,India,M,agrochemicals,Manufacturing,1500
1630,Frank Stronach,85,Canada,M,auto parts,Automotive,1500
1631,Kevin Systrom,34,United States,M,Instagram,Technology,1500
1632,Tang Hsiang-chien,95,Hong Kong,M,"textiles, electronics",Manufacturing,1500
1634,Ning Tang,44,China,M,online lending,Finance and Investments,1500
1635,Jim Thompson,78,United States,M,logistics,Logistics,1500
1636,Jonathan Tisch,64,United States,M,"insurance, NFL team",Diversified,1500
1637,Kenneth Tuchman,58,United States,M,outsourcing,Service,1500
1638,Wim van der Leegte,70,Netherlands,M,manufacturing,Manufacturing,1500
1639,Shamsheer Vayalil,41,India,M,healthcare,Healthcare,1500
1640,Thongma Vijitpongpun,60,Thailand,M,real estate,Real Estate,1500
1641,Arkady Volozh,54,Russia,M,search engine,Media & Entertainment,1500
1642,Stefan von Holtzbrinck,55,Germany,M,publishing,Media & Entertainment,1500
1643,Wang Jiufang,54,China,M,real estate,Real Estate,1500
