position,name,age,country,gender,wealthSource,industry,worth
957,Glen Taylor,77,United States,M,printing,Service,2600
958,Hanni Toosbuy Kasprzak,60,Denmark,F,shoes,Fashion & Retail,2600
959,Torbjorn Tornqvist,64,Sweden,M,oil trading,Energy,2600
960,Bulat Utemuratov,60,Kazakhstan,M,"mining, banking, hotels",Metals & Mining,2600
961,Chip Wilson,61,Canada,M,Lululemon,Fashion & Retail,2600
962,Jerry Yang,49,United States,M,Yahoo,Technology,2600
963,Zhang Fan,52,China,M,touch screens,Technology,2600
964,Zhu Xingliang,59,China,M,construction,Construction & Engineering,2600
965,Ramon Ang,64,Philippines,M,Diversified,Food and Beverage,2500
966,Edward Bass,72,United States,M,"oil, investments",Energy,2500
967,Lee Bass,62,United States,M,"oil, investments",Energy,2500
968,Bert Beveridge,56,United States,M,vodka,Food and Beverage,2500
969,George Bishop,80,United States,M,oil & gas,Energy,2500
970,Jaime Botin,82,Spain,M,banking,Finance and Investments,2500
971,Norman Braman,85,United States,M,"art, car dealerships",Automotive,2500
972,Chin Jong Hwa,60,Taiwan,M,auto parts,Automotive,2500
973,Cho Tak Wong,72,Hong Kong,M,auto parts,Manufacturing,2500
974,John Coates,48,United Kingdom,M,online gambling,Gambling & Casinos,2500
975,Du Jiangtao,48,China,M,chemicals,Manufacturing,2500
976,Aloysio de Andrade Faria,97,Brazil,M,banking,Finance and Investments,2500
977,Kenneth Feld,69,United States,M,"circus, live entertainment",Media & Entertainment,2500
978,Luca Garavoglia,49,Italy,M,spirits,Food and Beverage,2500
979,Noam Gottesman,57,United States,M,hedge funds,Finance and Investments,2500
980,Jonathan Gray,48,United States,M,investments,Finance and Investments,2500
981,Stein Erik Hagen,61,Norway,M,consumer goods,Fashion & Retail,2500
982,Chang-Woo Han,87,Japan,M,pachinko parlors,Gambling & Casinos,2500
983,John Henry,68,United States,M,sports,Sports,2500
984,Lawrence Ho,41,Hong Kong,M,casinos,Gambling & Casinos,2500
985,Hui Lin Chit,65,China,M,hygiene products,Manufacturing,2500
986,Mustafa Rahmi Koc,87,Turkey,M,diversified,Diversified,2500
987,Kuan Kam Hon,70,Malaysia,M,synthetic gloves,Manufacturing,2500
988,Jane Lauder,45,United States,F,cosmetics,Fashion & Retail,2500
989,Aerin Lauder Zinterhofer,48,United States,F,cosmetics,Fashion & Retail,2500
990,Maritsa Lazari,73,United Kingdom,F,real estate,Real Estate,2500
991,Bernard Lewis,92,United Kingdom,M,fashion retailer,Fashion & Retail,2500
992,Vincent Lo,69,Hong Kong,M,real estate,Real Estate,2500
993,Jeffrey Lorberbaum,63,United States,M,flooring,Manufacturing,2500
994,Joe Mansueto,61,United States,M,investment research,Finance and Investments,2500
995,Jose Roberto Marinho,62,Brazil,M,media,Media & Entertainment,2500
996,Roberto Irineu Marinho,70,Brazil,M,media,Media & Entertainment,2500
997,C. Dean Metropoulos,72,United States,M,investments,Food and Beverage,2500
998,Aristotelis Mistakidis,56,Greece,M,"mining, commodities",Metals & Mining,2500
999,Arturo Moreno,71,United States,M,"billboards, Anaheim Angels",Sports,2500
1000,Yoshiko Mori,77,Japan,F,real estate,Real Estate,2500
1001,Adam Neumann,39,Israel,M,WeWork,Real Estate,2500
1002,Or Wai Sheun,67,Hong Kong,M,real estate,Real Estate,2500
1003,Richard Peery,79,United States,M,real estate,Real Estate,2500
1004,Horst Julius Pudwill,73,Germany,M,manufacturing,Manufacturing,2500
1005,P.V. Ramprasad Reddy,60,India,M,pharmaceuticals,Healthcare,2500
1006,Larry Robbins,48,United States,M,hedge funds,Finance and Investments,2500
1007,Carlos Sanchez,56,Brazil,M,generic drugs,Healthcare,2500
1008,Stephan Schmidheiny,70,Switzerland,M,investments,Finance and Investments,2500
1010,Charles Simonyi,69,United States,M,Microsoft,Technology,2500
1011,Mark Stevens,58,United States,M,venture capital,Finance and Investments,2500
1012,Sze Man Bok,68,China,M,hygiene products,Manufacturing,2500
1013,Sarik Tara,88,Turkey,M,construction,Construction & Engineering,2500
1014,Lottie Tham,69,Sweden,F,H&M,Fashion & Retail,2500
1015,Peter Thiel,50,United States,M,"Facebook, Palantir",Finance and Investments,2500
1016,Elaine Wynn,76,United States,F,"casinos, hotels",Gambling & Casinos,2500
1017,Denise York,67,United States,F,San Francisco 49ers,Sports,2500
1018,David Zalik,44,United States,M,technology,Technology,2500
1019,Zhao Tao,52,Singapore,M,pharmaceuticals,Healthcare,2500
1020,George Argyros,81,United States,M,"real estate, investments",Real Estate,2400
1021,John Arrillaga,81,United States,M,real estate,Real Estate,2400
1022,Charles Bronfman,86,Canada,M,liquor,Food and Beverage,2400
1023,Peter Buck,87,United States,M,Subway sandwich shops,Food and Beverage,2400
1024,Chen Jinxia,50,China,F,investments,Finance and Investments,2400
1025,Vivien Chen,59,Hong Kong,F,real estate,Real Estate,2400
1026,Chu Lam Yiu,48,Hong Kong,F,flavorings,Manufacturing,2400
1027,Jean Coutu,91,Canada,M,drugstores,Fashion & Retail,2400
1028,Jose Luis Cutrale,71,Brazil,M,orange juice,Food and Beverage,2400
1030,Bergit Douglas,71,Germany,F,consumer goods,Food and Beverage,2400
1031,Alfredo Egydio Arruda Villela Filho,48,Brazil,M,banking,Finance and Investments,2400
1032,Marcel Erni,53,Switzerland,M,private equity,Finance and Investments,2400
1033,Andre Esteves,49,Brazil,M,banking,Finance and Investments,2400
1034,Carlo Fidani,63,Canada,M,real estate,Real Estate,2400
1035,Abhay Firodia,73,India,M,automobiles,Automotive,2400
1036,Alfred Gantner,50,Switzerland,M,private equity,Finance and Investments,2400
1037,Geng Jianming,55,China,M,real estate,Real Estate,2400
1038,Mitchell Goldhar,56,Canada,M,real estate,Real Estate,2400
1039,Hortensia Herrero,68,Spain,F,supermarkets,Fashion & Retail,2400
1040,Michael Hintze,64,Australia,M,investment,Finance and Investments,2400
1041,Igor Kesaev,51,Russia,M,"tobacco distribution, retail",Fashion & Retail,2400
1042,Koon Poh Keong,57,Malaysia,M,aluminum,Manufacturing,2400
1043,Hermann Langness,65,Germany,M,retail,Food and Beverage,2400
1044,Li Zhongchu,54,China,M,software,Technology,2400
1045,Alexander Mamut,58,Russia,M,investments,Finance and Investments,2400
